Iteration,Drone,Connected To,Attack Type,Trust Status,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Battery Level,Sensor Functionality,Relative Speed,Location Accuracy,Communication Intensity,Communication Scale,Latency,Data Throughput,Packet Loss,Swarm Coordination Rate,Trust Score,Speed Match,Sensor Match,Centrality Match,Total Times Attacked
0,Drone1,"['Drone3', 'Drone2']",Trustworthy,TRUSTED,0.25,0.0,0.5,0.2354102915125952,61,0.9816489473917676,1.1352915004338218,0.911384162900149,7,1,0.04425739609216281,261,0.0003568668639405637,0.9508051698066264,0.8105814109755243,Matched,Matched,Matched,0
0,Drone2,"['Drone3', 'Drone1', 'Drone4', 'Drone6']",Critical Node Attack,MALICIOUS,0.5,0.181547619047619,0.6666666666666666,0.43216069585175937,95,0.8096100026499176,1.1341764991600778,0.9746210912267412,16,2,0.05772279341168883,442,0.02529702616946506,0.8358429288581477,0.8796597580988615,Mismatched,Mismatched,Mismatched,1
0,Drone3,"['Drone1', 'Drone2', 'Drone5', 'Drone8']",Critical Node Attack,MALICIOUS,0.5,0.19047619047619047,0.6153846153846154,0.35936404807641864,78,0.8383080948333085,1.120641610391072,0.936741384181589,18,2,0.04848035555558262,209,0.006173579181131434,0.8427744795768406,0.8777419570433,Mismatched,Mismatched,Mismatched,1
0,Drone4,"['Drone5', 'Drone6', 'Drone2', 'Drone7']",Trustworthy,TRUSTED,0.5,0.1607142857142857,0.6153846153846154,0.424190662630142,62,0.9803142111267023,0.8955125190627629,0.9522970904382521,14,1,0.09441626833818716,178,0.0057992495804214065,0.9052946187638872,0.8453268961892225,Matched,Matched,Matched,0
0,Drone5,"['Drone4', 'Drone6', 'Drone3']",Trustworthy,TRUSTED,0.375,0.05654761904761904,0.6153846153846154,0.36214667663242595,97,0.9649693377716911,1.0611812948660764,0.9441695569592949,16,1,0.04332516556361641,204,0.024741552858089284,0.8578392660107825,0.7551133176202527,Matched,Matched,Matched,0
0,Drone6,"['Drone4', 'Drone5', 'Drone2', 'Drone9']",Trustworthy,TRUSTED,0.5,0.12797619047619047,0.6666666666666666,0.43409551746357977,59,0.9091638842320466,0.9383871788380677,0.9689744298807619,10,1,0.014733404968631491,194,0.028505061528369197,0.9703040599766811,0.9411469288386424,Matched,Matched,Matched,0
0,Drone7,"['Drone9', 'Drone4']",Trustworthy,TRUSTED,0.25,0.026785714285714284,0.5,0.19785764389123936,99,0.831305591142629,0.8471706094118805,0.9489528696521513,7,3,0.014511984787701182,333,0.04021511719397502,0.8795303376426404,0.903830915167062,Matched,Matched,Matched,0
0,Drone8,"['Drone9', 'Drone3']",Trustworthy,TRUSTED,0.25,0.06547619047619047,0.5333333333333333,0.17857715975370542,53,0.9553749013107748,1.11638729549896,0.992656275627671,13,2,0.09474178800939187,451,0.04963828898662617,0.9397174167700295,0.74792554222663,Matched,Matched,Matched,0
0,Drone9,"['Drone7', 'Drone8', 'Drone6']",Trustworthy,TRUSTED,0.375,0.11904761904761903,0.5714285714285714,0.24106494433789355,89,0.8692860481107858,1.0250834430409848,0.9224229699715245,9,3,0.02004736115621322,418,0.04304339487156037,0.8706735581711624,0.922064889016474,Matched,Matched,Matched,0
1,Drone1,['Drone4'],Critical Node Attack,MALICIOUS,0.16666666666666666,0.0,0.3,0.28184519820588466,61,0.9816489473917676,1.1352915004338218,0.911384162900149,7,1,0.04425739609216281,261,0.0003568668639405637,0.9508051698066264,0.8105814109755243,Mismatched,Mismatched,Mismatched,1
1,Drone4,"['Drone5', 'Drone6', 'Drone1']",Critical Node Attack,MALICIOUS,0.5,0.13333333333333333,0.5,0.6116284559470264,62,0.9803142111267023,0.8955125190627629,0.9522970904382521,14,1,0.09441626833818716,178,0.0057992495804214065,0.9052946187638872,0.8453268961892225,Mismatched,Mismatched,Mismatched,1
1,Drone5,"['Drone4', 'Drone6']",Trustworthy,TRUSTED,0.3333333333333333,0.0,0.375,0.5227207244403519,97,0.9649693377716911,1.0611812948660764,0.9441695569592949,16,1,0.04332516556361641,204,0.024741552858089284,0.8578392660107825,0.7551133176202527,Matched,Matched,Matched,0
1,Drone6,"['Drone4', 'Drone5']",Trustworthy,TRUSTED,0.3333333333333333,0.0,0.375,0.5227207244403519,59,0.9091638842320466,0.9383871788380677,0.9689744298807619,10,1,0.014733404968631491,194,0.028505061528369197,0.9703040599766811,0.9411469288386424,Matched,Matched,Matched,0
1,Drone7,"['Drone8', 'Drone9']",Trustworthy,TRUSTED,0.3333333333333333,0.0,0.3333333333333333,3.918013703932234e-05,99,0.831305591142629,0.8471706094118805,0.9489528696521513,7,3,0.014511984787701182,333,0.04021511719397502,0.8795303376426404,0.903830915167062,Matched,Matched,Matched,0
1,Drone8,"['Drone7', 'Drone9']",Trustworthy,TRUSTED,0.3333333333333333,0.0,0.3333333333333333,3.918013703932234e-05,53,0.9553749013107748,1.11638729549896,0.992656275627671,13,2,0.09474178800939187,451,0.04963828898662617,0.9397174167700295,0.74792554222663,Matched,Matched,Matched,0
1,Drone9,"['Drone7', 'Drone8']",Trustworthy,TRUSTED,0.3333333333333333,0.0,0.3333333333333333,3.918013703932234e-05,89,0.8692860481107858,1.0250834430409848,0.9224229699715245,9,3,0.02004736115621322,418,0.04304339487156037,0.8706735581711624,0.922064889016474,Matched,Matched,Matched,0
2,Drone5,['Drone6'],Trustworthy,TRUSTED,0.25,0.0,0.4,0.2886760320285294,97,0.9649693377716911,1.0611812948660764,0.9441695569592949,16,1,0.04332516556361641,204,0.024741552858089284,0.8578392660107825,0.7551133176202527,Matched,Matched,Matched,0
2,Drone6,"['Drone5', 'Drone7']",Critical Node Attack,MALICIOUS,0.5,0.5,0.5714285714285714,0.49999999508235304,59,0.9091638842320466,0.9383871788380677,0.9689744298807619,10,1,0.014733404968631491,194,0.028505061528369197,0.9703040599766811,0.9411469288386424,Mismatched,Mismatched,Mismatched,1
2,Drone7,"['Drone6', 'Drone8']",Critical Node Attack,MALICIOUS,0.5,0.6666666666666666,0.6666666666666666,0.5773493802714443,99,0.831305591142629,0.8471706094118805,0.9489528696521513,7,3,0.014511984787701182,333,0.04021511719397502,0.8795303376426404,0.903830915167062,Mismatched,Mismatched,Mismatched,1
2,Drone8,"['Drone9', 'Drone7']",Trustworthy,TRUSTED,0.5,0.5,0.5714285714285714,0.49999999508235293,53,0.9553749013107748,1.11638729549896,0.992656275627671,13,2,0.09474178800939187,451,0.04963828898662617,0.9397174167700295,0.74792554222663,Matched,Matched,Matched,0
2,Drone9,['Drone8'],Trustworthy,TRUSTED,0.25,0.0,0.4,0.2886760320285294,89,0.8692860481107858,1.0250834430409848,0.9224229699715245,9,3,0.02004736115621322,418,0.04304339487156037,0.8706735581711624,0.922064889016474,Matched,Matched,Matched,0
3,Drone5,['Drone9'],Critical Node Attack,MALICIOUS,0.5,0.0,0.6666666666666666,0.5000000644180599,97,0.9649693377716911,1.0611812948660764,0.9441695569592949,16,1,0.04332516556361641,204,0.024741552858089284,0.8578392660107825,0.7551133176202527,Mismatched,Mismatched,Mismatched,1
3,Drone8,['Drone9'],Trustworthy,TRUSTED,0.5,0.0,0.6666666666666666,0.5000000644180599,53,0.9553749013107748,1.11638729549896,0.992656275627671,13,2,0.09474178800939187,451,0.04963828898662617,0.9397174167700295,0.74792554222663,Matched,Matched,Matched,0
3,Drone9,"['Drone5', 'Drone8']",Critical Node Attack,MALICIOUS,1.0,1.0,1.0,0.707106690085642,89,0.8692860481107858,1.0250834430409848,0.9224229699715245,9,3,0.02004736115621322,418,0.04304339487156037,0.8706735581711624,0.922064889016474,Mismatched,Mismatched,Mismatched,1
4,Drone8,[],Critical Node Attack,MALICIOUS,1,0.0,0.0,1.0,53,0.9553749013107748,1.11638729549896,0.992656275627671,13,2,0.09474178800939187,451,0.04963828898662617,0.9397174167700295,0.74792554222663,Mismatched,Mismatched,Mismatched,1
5,Drone1,['Drone2'],Trustworthy,TRUSTED,0.125,0.0,0.42105263157894735,0.17613651391219398,96,0.9693108362894157,0.8066470404088925,0.9465122063059002,17,1,0.04815062132809044,373,0.049589736973994214,0.9282008005651569,0.9345332821952037,Matched,Matched,Matched,1
5,Drone2,"['Drone1', 'Drone3', 'Drone4', 'Drone7']",Critical Node Attack,MALICIOUS,0.5,0.6964285714285714,0.6666666666666666,0.4724802694219318,85,0.8596319537220274,0.8826421821803273,0.9080286982910876,15,3,0.06748490303841262,211,0.021003016056532327,0.9910785197426619,0.8284767732808069,Mismatched,Mismatched,Mismatched,2
5,Drone3,"['Drone2', 'Drone9']",Trustworthy,TRUSTED,0.25,0.08928571428571427,0.5,0.32810474237058157,71,0.8336901602458793,0.8814247430711376,0.973433434685896,13,1,0.030160161142811746,133,0.013006258527963999,0.800626177015953,0.879551365362152,Matched,Matched,Matched,1
5,Drone4,"['Drone6', 'Drone2', 'Drone5']",Critical Node Attack,MALICIOUS,0.375,0.42857142857142855,0.5333333333333333,0.316313655599444,76,0.8861169116490436,1.0426947821377996,0.9080511805521432,7,1,0.05104719705703886,309,0.0028239893430703545,0.9560553640300531,0.944811506848967,Mismatched,Mismatched,Mismatched,2
5,Drone5,"['Drone6', 'Drone4']",Trustworthy,TRUSTED,0.25,0.0,0.38095238095238093,0.18800827345112522,57,0.8723738871251668,0.8276021387493845,0.9573021344454531,20,1,0.08337727115976809,322,0.006106257223015832,0.833645668271626,0.9204248020591008,Matched,Matched,Matched,1
5,Drone6,"['Drone4', 'Drone5']",Trustworthy,TRUSTED,0.25,0.0,0.38095238095238093,0.18800827345112522,63,0.8976893762624125,1.0935312697397406,0.9978388194577666,6,1,0.02404634231422175,362,0.03170874717336435,0.8680690764709347,0.8449210196634322,Matched,Matched,Matched,1
5,Drone7,"['Drone8', 'Drone9', 'Drone2']",Trustworthy,TRUSTED,0.375,0.26785714285714285,0.5333333333333333,0.446857716354397,71,0.9718843808733046,0.8328908270216384,0.9186917254122119,9,2,0.07260782308070789,355,0.007996224049276647,0.9967474680947294,0.8481257410648547,Matched,Matched,Matched,1
