Iteration,Drone,Connected To,Attack Type,Trust Status,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Battery Level,Sensor Functionality,Relative Speed,Location Accuracy,Communication Intensity,Communication Scale,Latency,Data Throughput,Packet Loss,Swarm Coordination Rate,Trust Score,Speed Match,Sensor Match,Centrality Match,Total Times Attacked
0,Drone1,"['Drone2', 'Drone3', 'Drone4', 'Drone8']",,TRUSTED,0.4444444444444444,0.014814814814814814,0.6,0.32271198120607025,62,0.9810980095064843,1.1679572933260813,0.9226498420257699,16,2,0.09085634193170318,433,0.04446188709700813,0.9893674733916398,0.7374664874123827,Matched,Matched,Matched,0
0,Drone2,"['Drone1', 'Drone3', 'Drone4', 'Drone5', 'Drone6', 'Drone7', 'Drone9']",,TRUSTED,0.7777777777777777,0.25231481481481477,0.8181818181818182,0.4529091572884177,92,0.902192866286924,1.1034714731982311,0.9640355358447645,9,3,0.08760698113563996,144,0.022091815213557547,0.9238158406561449,0.8464375753006024,Matched,Matched,Matched,0
0,Drone3,"['Drone1', 'Drone2', 'Drone4', 'Drone7', 'Drone8', 'Drone9']",,TRUSTED,0.6666666666666666,0.1444444444444444,0.75,0.4207116994676068,93,0.8766678515669315,0.8103033345324662,0.9282489901561232,8,3,0.057946985400294776,342,0.009378372263934837,0.8907571326969799,0.8556589545028512,Matched,Matched,Matched,0
0,Drone4,"['Drone1', 'Drone2', 'Drone3', 'Drone6']",,TRUSTED,0.4444444444444444,0.0162037037037037,0.6,0.3168733480289296,86,0.9021441881000118,0.87527749123254,0.9980002354187609,15,1,0.0789754178403759,284,0.036807037758473514,0.8834346015150545,0.9190903697497813,Matched,Matched,Matched,0
0,Drone5,"['Drone2', 'Drone8', 'Drone9']",,TRUSTED,0.3333333333333333,0.03333333333333333,0.6,0.21780168067846664,66,0.87282065819423,1.0587881062520823,0.970244781035917,10,3,0.015560003881547158,249,0.015136681988611213,0.9004624916612571,0.8839785204299251,Matched,Matched,Matched,0
0,Drone6,"['Drone2', 'Drone4', 'Drone7', 'Drone8']",,TRUSTED,0.4444444444444444,0.024074074074074074,0.6,0.3012782295032849,78,0.8514232669567368,1.0549359175345494,0.9485644829151464,15,3,0.03258406216851924,389,0.007991784758990495,0.8288263786154446,0.843938100179969,Matched,Matched,Matched,0
0,Drone7,"['Drone2', 'Drone3', 'Drone6', 'Drone8']",,TRUSTED,0.4444444444444444,0.012499999999999997,0.6,0.31941219440617885,71,0.8151755880766178,0.8278383834749438,0.9524571967997103,11,2,0.06470222938223014,299,0.03568053134536874,0.8251167863574006,0.8418091524121638,Matched,Matched,Matched,0
0,Drone8,"['Drone1', 'Drone3', 'Drone5', 'Drone6', 'Drone7']",,TRUSTED,0.5555555555555556,0.07638888888888887,0.6428571428571429,0.3347111061949787,74,0.8205960967282923,1.092888773686271,0.9779783080371369,14,1,0.0954144958609557,335,0.0217335356756517,0.9415245714157808,0.7808451948439568,Matched,Matched,Matched,0
0,Drone9,"['Drone2', 'Drone3', 'Drone5', 'Sybil_0']",Sybil Impersonated,MALICIOUS,0.4444444444444444,0.23148148148148143,0.6428571428571429,0.24175369522934867,58,0.9377565310662569,0.9813838902089913,0.9248883041960239,9,3,0.05706010869822582,393,0.024732150031832097,0.8951263735120059,0.8551340392408413,Mismatched,Mismatched,Mismatched,1
1,Drone1,"['Drone3', 'Drone6', 'Drone7', 'Drone8']",,TRUSTED,0.5,0.005952380952380952,0.6153846153846154,0.3205987242429456,62,0.9810980095064843,1.1679572933260813,0.9226498420257699,16,2,0.09085634193170318,433,0.04446188709700813,0.9893674733916398,0.7374664874123827,Matched,Matched,Matched,0
1,Drone2,"['Drone3', 'Drone5', 'Drone7']",,TRUSTED,0.375,0.005952380952380952,0.5714285714285714,0.23263335911880528,92,0.902192866286924,1.1034714731982311,0.9640355358447645,9,3,0.08760698113563996,144,0.022091815213557547,0.9238158406561449,0.8464375753006024,Matched,Matched,Matched,0
1,Drone3,"['Drone1', 'Drone2', 'Drone4', 'Drone5', 'Drone6', 'Drone8']",,TRUSTED,0.75,0.1577380952380952,0.8,0.396917833728889,93,0.8766678515669315,0.8103033345324662,0.9282489901561232,8,3,0.057946985400294776,342,0.009378372263934837,0.8907571326969799,0.8556589545028512,Matched,Matched,Matched,0
1,Drone4,"['Drone3', 'Drone6', 'Drone7', 'Sybil_1']",Sybil Impersonated,MALICIOUS,0.5,0.25595238095238093,0.6666666666666666,0.2542907483973365,86,0.9021441881000118,0.87527749123254,0.9980002354187609,15,1,0.0789754178403759,284,0.036807037758473514,0.8834346015150545,0.9190903697497813,Mismatched,Mismatched,Mismatched,1
1,Drone5,"['Drone2', 'Drone3', 'Drone6', 'Drone7', 'Drone8']",,TRUSTED,0.625,0.029761904761904757,0.6666666666666666,0.3672102456878326,66,0.87282065819423,1.0587881062520823,0.970244781035917,10,3,0.015560003881547158,249,0.015136681988611213,0.9004624916612571,0.8839785204299251,Matched,Matched,Matched,0
