Iteration,Drone,Connected To,Attack Type,Trust Status,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Battery Level,Sensor Functionality,Relative Speed,Location Accuracy,Communication Intensity,Communication Scale,Latency,Data Throughput,Packet Loss,Swarm Coordination Rate,Trust Score,Speed Match,Sensor Match,Centrality Match,Total Times Attacked
0,Drone1,"['Drone3', 'Drone6', 'Drone9']",,TRUSTED,0.375,0.29761904761904756,0.5714285714285714,0.35127042409985154,57,0.8561341791594097,0.8059926047982433,0.9738897564745939,18,1,0.08863574229193084,308,0.033996574912547685,0.8742904160093918,0.7894028338924006,Matched,Matched,Matched,0
0,Drone2,"['Drone4', 'Drone6', 'Drone9']",,TRUSTED,0.375,0.1547619047619047,0.5714285714285714,0.40532697021852654,99,0.8583351509788772,1.1543188224127379,0.9140780556008684,11,3,0.050309950359362435,167,0.028791822751909352,0.8884726795890305,0.8421506378185408,Matched,Matched,Matched,0
0,Drone3,['Drone1'],,TRUSTED,0.125,0.0,0.38095238095238093,0.12050035507576179,73,0.9964489617659815,0.8524999769855358,0.9615508914441955,16,3,0.04699038842502157,420,0.005747426258768124,0.9299673453865477,0.9148308318091424,Matched,Matched,Matched,0
0,Drone4,"['Drone5', 'Drone2']",,TRUSTED,0.25,0.011904761904761904,0.42105263157894735,0.2780854003704546,71,0.957803964331094,1.0350995378665357,0.9654676976727221,7,1,0.017883662409283102,120,0.02303613457549164,0.8428692221831452,0.9638671860883854,Matched,Matched,Matched,0
0,Drone5,"['Drone4', 'Drone6', 'Drone9']",Data Manipulation,MALICIOUS,0.375,0.1547619047619047,0.5714285714285714,0.40532697021852654,97,0.9120328148082946,0.9860666018869506,0.9987020912972637,5,2,0.016154125794785,118,0.03225970484246037,0.8306868662232354,0.8800219859708184,Mismatched,Mismatched,Mismatched,1
0,Drone6,"['Drone5', 'Drone1', 'Drone2', 'Drone7']",,TRUSTED,0.5,0.36904761904761907,0.6153846153846154,0.4517455130738236,71,0.8116809191710035,0.8771567656910073,0.9709940845066793,17,2,0.07008807973073322,473,0.0036629543026967695,0.8582294699562778,0.8190619363402987,Matched,Matched,Matched,0
0,Drone7,['Drone6'],,TRUSTED,0.125,0.0,0.4,0.15496667535700182,89,0.9687783547344433,0.8947069467821204,0.9322460101732272,19,3,0.06592093173009049,252,0.03613652873151051,0.8855068364148471,0.7990047615359669,Matched,Matched,Matched,0
0,Drone8,['Drone9'],,TRUSTED,0.125,0.0,0.4,0.15496667535700182,61,0.8946821056859438,0.8629296560725913,0.9257603575077091,8,1,0.06242749337655205,415,0.004753480660816151,0.8034129445612068,0.9111508181193871,Matched,Matched,Matched,0
0,Drone9,"['Drone1', 'Drone2', 'Drone5', 'Drone8']",,TRUSTED,0.5,0.36904761904761907,0.6153846153846154,0.4517455130738236,52,0.8423672760556655,1.0669241251285233,0.9570189616481203,16,3,0.0734892903746801,122,0.029362390978398822,0.9183681483950471,0.8391487034905962,Matched,Matched,Matched,0
1,Drone1,"['Drone3', 'Drone6', 'Drone9']",,TRUSTED,0.42857142857142855,0.38095238095238093,0.5833333333333334,0.46193970674109025,57,0.8561341791594097,0.8059926047982433,0.9738897564745939,18,1,0.08863574229193084,308,0.033996574912547685,0.8742904160093918,0.7894028338924006,Matched,Matched,Matched,0
1,Drone2,"['Drone4', 'Drone6', 'Drone9']",,TRUSTED,0.42857142857142855,0.38095238095238093,0.5833333333333334,0.46193970674109025,99,0.8583351509788772,1.1543188224127379,0.9140780556008684,11,3,0.050309950359362435,167,0.028791822751909352,0.8884726795890305,0.8421506378185408,Matched,Matched,Matched,0
1,Drone3,['Drone1'],,TRUSTED,0.14285714285714285,0.0,0.3888888888888889,0.19134185986332308,73,0.9964489617659815,0.8524999769855358,0.9615508914441955,16,3,0.04699038842502157,420,0.005747426258768124,0.9299673453865477,0.9148308318091424,Matched,Matched,Matched,0
1,Drone4,['Drone2'],Data Manipulation,MALICIOUS,0.14285714285714285,0.0,0.3888888888888889,0.19134185986332308,71,0.957803964331094,1.0350995378665357,0.9654676976727221,7,1,0.017883662409283102,120,0.02303613457549164,0.8428692221831452,0.9638671860883854,Mismatched,Mismatched,Mismatched,1
